SurveyPeriod,MALL total,Proportion_Mig,Harvest Weight,Proportion_Harvest,Zone
1,0,0,0,0,High Plains
2,10,5e-4,0,0,High Plains
3,50,0.0025,0,0,High Plains
4,65,0.00325,129.457,0.5,High Plains
5,707,0.03535,258.914,1,High Plains
6,750,0.0375,258.914,1,High Plains
7,11700,0.585,0,0,High Plains
8,20000,1,0,0,High Plains
9,8540,0.427,0,0,High Plains
10,8000,0.4,0,0,High Plains
1,1559,0.0906378,0,0,Low Plains Early
2,6115,0.357226448,0,0,Low Plains Early
3,4115,0.240198947,129.457,0.1,Low Plains Early
4,5545,0.32387361,1035.656,0.8,Low Plains Early
5,5950,0.347571679,517.828,0.4,Low Plains Early
6,16500,0.96489175,776.742,0.6,Low Plains Early
7,17100,1,1035.656,0.8,Low Plains Early
8,1303,0.07565828,0,0,Low Plains Early
9,130,0.00702165,0,0,Low Plains Early
10,10,0,1294.57,1,Low Plains Early
1,2068,0,0,0,Low Plains Late
2,3597,0.0128986,0,0,Low Plains Late
3,3981,0.016138012,0,0,Low Plains Late
4,6076,0.033811372,1165.113,0.140625,Low Plains Late
5,9075,0.059110849,1682.941,0.203125,Low Plains Late
6,12695,0.089649064,8285.248,1,Low Plains Late
7,69260,0.566829762,6213.936,0.75,Low Plains Late
8,120608,1,6602.307,0.796875,Low Plains Late
9,106362,0.879821157,0,0,Low Plains Late
10,55100,0.447376413,5955.022,0.71875,Low Plains Late
1,0,0,0,0,Southeast
2,0,0,0,0,Southeast
3,210,0.00268604,0,0,Southeast
4,1339,0.017126704,129.457,0.00877193,Southeast
5,6032,0.077153309,1941.855,0.131578947,Southeast
6,28947,0.370251465,14758.098,1,Southeast
7,63071,0.806720217,8673.619,0.587719298,Southeast
8,72893,0.932350157,7896.877,0.535087719,Southeast
9,48922,0.625745056,906.199,0.061403509,Southeast
10,78182,1,6343.393,0.429824561,Southeast
